source,accs,rec1,rec2,accs_d2,accs_d3
Long_120,0.610650888,0.807392996,0.305135952,,
Long_120,0.60591716,0.808219178,0.296407186,,
Long_120,0.590532544,0.917322835,0.097922849,,
Long_120,0.584615385,0.721115538,0.38483965,,
Long_120,0.610650888,0.801619433,0.341880342,,
Long_120,0.613017751,0.781132075,0.33015873,,
Long_120,0.592899408,0.863543788,0.217514124,,
Long_120,0.592899408,0.847736626,0.247910864,,
Long_120,0.589349112,0.793456033,0.308988764,,
Long_120,0.604733728,0.788423154,0.337209302,,
Long_120,0.584615385,0.7625,0.350684932,,
Long_120,0.6,0.882121807,0.172619048,,
Long_120,0.581065089,0.846613546,0.192419825,,
Long_120,0.613017751,0.765407555,0.388888889,,
Long_120,0.60591716,0.755813953,0.370820669,,
Long_120,0.60591716,0.82306163,0.286549708,,
Long_120,0.590532544,0.862,0.197101449,,
Long_120,0.585798817,0.75959596,0.34,,
Long_120,0.596449704,0.794768612,0.313218391,,
Long_120,0.623668639,0.794820717,0.373177843,,
Long_120,0.603550296,0.782352941,0.331343284,,
Long_120,0.602366864,0.827380952,0.269794721,,
Long_120,0.568047337,0.815286624,0.256684492,,
Long_120,0.590532544,0.783464567,0.299703264,,
Long_120,0.596449704,0.74251497,0.38372093,,
Long_120,0.584615385,0.819502075,0.272727273,,
Long_120,0.604733728,0.827309237,0.285302594,,
Long_120,0.614201183,0.75047259,0.386075949,,
Long_120,0.615384615,0.827586207,0.318181818,,
Long_120,0.622485207,0.793834297,0.349693252,,
Long_200,0.631799163,0.75974026,0.4,,
Long_200,0.619246862,0.784172662,0.39,,
Long_200,0.665271967,0.742857143,0.453125,,
Long_200,0.648535565,0.784313725,0.406976744,,
Long_200,0.631799163,0.856164384,0.279569892,,
Long_200,0.627615063,0.815068493,0.333333333,,
Long_200,0.631799163,0.856115108,0.32,,
Long_200,0.652719665,0.772727273,0.435294118,,
Long_200,0.644351464,0.769230769,0.409638554,,
Long_200,0.59832636,0.8,0.258426966,,
Long_200,0.665271967,0.820512821,0.373493976,,
Long_200,0.619246862,0.808510638,0.346938776,,
Long_200,0.615062762,0.8,0.273809524,,
Long_200,0.661087866,0.786163522,0.4125,,
Long_200,0.690376569,0.813253012,0.410958904,,
Long_200,0.640167364,0.881578947,0.218390805,,
Long_200,0.627615063,0.753164557,0.382716049,,
Long_200,0.610878661,0.722580645,0.404761905,,
Long_200,0.615062762,0.743055556,0.421052632,,
Long_200,0.640167364,0.863013699,0.290322581,,
Long_200,0.652719665,0.779141104,0.381578947,,
Long_200,0.619246862,0.733766234,0.411764706,,
Long_200,0.606694561,0.78807947,0.295454545,,
Long_200,0.631799163,0.76433121,0.37804878,,
Long_200,0.635983264,0.87755102,0.25,,
Long_200,0.682008368,0.878205128,0.313253012,,
Long_200,0.615062762,0.76056338,0.402061856,,
Long_200,0.652719665,0.849056604,0.2625,,
Long_200,0.59832636,0.887323944,0.175257732,,
Long_200,0.648535565,0.790540541,0.417582418,,
Long_240,0.74,0.733333333,0.75,,
Long_240,0.74,0.620689655,0.904761905,,
Long_240,0.68,0.575757576,0.882352941,,
Long_240,0.68,0.567567568,1,,
Long_240,0.76,0.620689655,0.952380952,,
Long_240,0.88,0.823529412,1,,
Long_240,0.8,0.71875,0.944444444,,
Long_240,0.7,0.6,0.933333333,,
Long_240,0.64,0.5,0.888888889,,
Long_240,0.76,0.642857143,0.909090909,,
Long_240,0.7,0.625,0.769230769,,
Long_240,0.84,0.857142857,0.818181818,,
Long_240,0.62,0.513513514,0.923076923,,
Long_240,0.74,0.675675676,0.923076923,,
Long_240,0.7,0.676470588,0.75,,
Long_240,0.78,0.705882353,0.9375,,
Long_240,0.76,0.705882353,0.875,,
Long_240,0.78,0.722222222,0.928571429,,
Long_240,0.78,0.756756757,0.846153846,,
Long_240,0.66,0.896551724,0.333333333,,
Long_240,0.78,0.733333333,0.85,,
Long_240,0.68,0.9375,0.222222222,,
Long_240,0.7,0.696969697,0.705882353,,
Long_240,0.84,0.820512821,0.909090909,,
Long_240,0.76,0.666666667,0.941176471,,
Long_240,0.72,0.588235294,1,,
Long_240,0.62,1,0,,
Long_240,0.78,0.642857143,0.954545455,,
Long_240,0.76,0.676470588,0.9375,,
Long_240,0.84,0.84375,0.833333333,,
Eq_240,0.805555556,0.722222222,0.888888889,,
Eq_240,0.75,0.611111111,0.888888889,,
Eq_240,0.861111111,0.764705882,0.947368421,,
Eq_240,0.777777778,0.8125,0.75,,
Eq_240,0.694444444,0.625,0.75,,
Eq_240,0.805555556,0.625,0.95,,
Eq_240,0.777777778,0.684210526,0.882352941,,
Eq_240,0.722222222,0.7,0.75,,
Eq_240,0.861111111,0.722222222,1,,
Eq_240,0.694444444,0.4375,0.9,,
Eq_240,0.75,0.636363636,0.928571429,,
Eq_240,0.694444444,0.5,0.888888889,,
Eq_240,0.638888889,0.444444444,0.833333333,,
Eq_240,0.75,0.6875,0.8,,
Eq_240,0.666666667,0.611111111,0.722222222,,
Eq_240,0.694444444,0.523809524,0.933333333,,
Eq_240,0.694444444,0.523809524,0.933333333,,
Eq_240,0.75,0.6,0.9375,,
Eq_240,0.805555556,0.8,0.8125,,
Eq_240,0.777777778,0.588235294,0.947368421,,
Eq_240,0.722222222,0.555555556,0.888888889,,
Eq_240,0.805555556,0.727272727,0.928571429,,
Eq_240,0.833333333,0.777777778,0.888888889,,
Eq_240,0.861111111,0.789473684,0.941176471,,
Eq_240,0.75,0.684210526,0.823529412,,
Eq_240,0.805555556,0.681818182,1,,
Eq_240,0.916666667,0.933333333,0.904761905,,
Eq_240,0.777777778,0.666666667,0.888888889,,
Eq_240,0.861111111,0.705882353,1,,
Eq_240,0.722222222,0.681818182,0.785714286,,
Eq_200,0.625,0.4625,0.760416667,,
Eq_200,0.642045455,0.533333333,0.755813953,,
Eq_200,0.670454545,0.505882353,0.824175824,,
Eq_200,0.659090909,0.541176471,0.769230769,,
Eq_200,0.625,0.464285714,0.77173913,,
Eq_200,0.670454545,0.564705882,0.769230769,,
Eq_200,0.642045455,0.536082474,0.772151899,,
Eq_200,0.625,0.476190476,0.760869565,,
Eq_200,0.659090909,0.472527473,0.858823529,,
Eq_200,0.653409091,0.524390244,0.765957447,,
Eq_200,0.664772727,0.536585366,0.776595745,,
Eq_200,0.613636364,0.553191489,0.682926829,,
Eq_200,0.642045455,0.511627907,0.766666667,,
Eq_200,0.625,0.522222222,0.73255814,,
Eq_200,0.659090909,0.522727273,0.795454545,,
Eq_200,0.653409091,0.568421053,0.75308642,,
Eq_200,0.596590909,0.483870968,0.722891566,,
Eq_200,0.659090909,0.53164557,0.762886598,,
Eq_200,0.642045455,0.518072289,0.752688172,,
Eq_200,0.642045455,0.512195122,0.755319149,,
Eq_200,0.642045455,0.523809524,0.75,,
Eq_200,0.653409091,0.590909091,0.715909091,,
Eq_200,0.659090909,0.516853933,0.804597701,,
Eq_200,0.630681818,0.547368421,0.728395062,,
Eq_200,0.659090909,0.536842105,0.802469136,,
Eq_200,0.715909091,0.643835616,0.766990291,,
Eq_200,0.619318182,0.5,0.738636364,,
Eq_200,0.630681818,0.516483516,0.752941176,,
Eq_200,0.647727273,0.553191489,0.756097561,,
Eq_200,0.619318182,0.528089888,0.712643678,,
Eq_120,0.597080292,0.486956522,0.708823529,,
Eq_120,0.618978102,0.455384615,0.766666667,,
Eq_120,0.602919708,0.455587393,0.755952381,,
Eq_120,0.548905109,0.547619048,0.550143266,,
Eq_120,0.576642336,0.462006079,0.68258427,,
Eq_120,0.62919708,0.492163009,0.74863388,,
Eq_120,0.608759124,0.508928571,0.70487106,,
Eq_120,0.586861314,0.492492492,0.676136364,,
Eq_120,0.63649635,0.488235294,0.782608696,,
Eq_120,0.583941606,0.468390805,0.703264095,,
Eq_120,0.598540146,0.436923077,0.744444444,,
Eq_120,0.618978102,0.448863636,0.798798799,,
Eq_120,0.613138686,0.527607362,0.690807799,,
Eq_120,0.608759124,0.51875,0.687671233,,
Eq_120,0.616058394,0.472560976,0.74789916,,
Eq_120,0.579562044,0.476744186,0.683284457,,
Eq_120,0.604379562,0.497222222,0.723076923,,
Eq_120,0.579562044,0.45,0.707246377,,
Eq_120,0.582481752,0.49235474,0.664804469,,
Eq_120,0.602919708,0.421052632,0.76519337,,
Eq_120,0.624817518,0.522123894,0.725433526,,
Eq_120,0.620437956,0.439759036,0.790368272,,
Eq_120,0.591240876,0.456193353,0.717514124,,
Eq_120,0.59270073,0.45751634,0.701846966,,
Eq_120,0.586861314,0.463414634,0.700280112,,
Eq_120,0.618978102,0.479166667,0.753581662,,
Eq_120,0.582481752,0.480825959,0.682080925,,
Eq_120,0.591240876,0.404069767,0.780058651,,
Eq_120,0.63649635,0.507374631,0.76300578,,
Eq_120,0.623357664,0.507204611,0.74260355,,
Dates_240,0.9,0.857142857,1,0.676767677,0.705882353
Dates_240,1,1,1,0.676767677,0.697478992
Dates_240,1,1,1,0.676767677,0.710084034
Dates_240,0.8,0.5,0.875,0.676767677,0.710084034
Dates_240,0.8,0.714285714,1,0.676767677,0.705882353
Dates_240,0.6,1,0,0.636363636,0.600840336
Dates_240,0.9,1,0.8,0.676767677,0.701680672
Dates_240,0.9,1,0.75,0.646464646,0.634453782
Dates_240,0.4,1,0.142857143,0.626262626,0.605042017
Dates_240,0.8,0.6,1,0.696969697,0.705882353
Dates_240,0.7,0.333333333,0.857142857,0.676767677,0.701680672
Dates_240,0.9,0.8,1,0.676767677,0.701680672
Dates_240,0.8,1,0.6,0.676767677,0.701680672
Dates_240,0.4,1,0,0.636363636,0.605042017
Dates_240,0.9,0.75,1,0.676767677,0.710084034
Dates_240,0.8,0.75,1,0.676767677,0.705882353
Dates_240,0.9,0.875,1,0.676767677,0.705882353
Dates_240,0.8,0.75,0.833333333,0.676767677,0.701680672
Dates_240,0.8,0.5,1,0.676767677,0.705882353
Dates_240,0.8,1,0.333333333,0.616161616,0.588235294
Dates_240,0.8,0.666666667,1,0.676767677,0.710084034
Dates_240,0.8,0.666666667,1,0.676767677,0.714285714
Dates_240,0.8,1,0.714285714,0.696969697,0.659663866
Dates_240,0.9,0.8,1,0.676767677,0.705882353
Dates_240,1,1,1,0.676767677,0.705882353
Dates_240,0.9,1,0.857142857,0.686868687,0.705882353
Dates_240,0.7,0.4,1,0.676767677,0.705882353
Dates_240,1,1,1,0.676767677,0.705882353
Dates_240,0.8,0.666666667,1,0.676767677,0.705882353
Dates_240,0.9,0.857142857,1,0.676767677,0.701680672
Dates_200,0.64,0.583333333,0.692307692,0.575452716,0.579365079
Dates_200,0.66,0.5,0.785714286,0.597585513,0.589065256
Dates_200,0.7,0.653846154,0.75,0.585513078,0.594356261
Dates_200,0.7,0.724137931,0.666666667,0.585513078,0.592592593
Dates_200,0.82,0.814814815,0.826086957,0.583501006,0.586419753
Dates_200,0.84,0.766666667,0.95,0.569416499,0.575837743
Dates_200,0.64,0.608695652,0.666666667,0.585513078,0.588183422
Dates_200,0.64,0.714285714,0.586206897,0.587525151,0.58994709
